sku_code,supplier,start_date,end_date,unit_cost,volume,awarded_by,comment
DAI-034,EuroChem,2022-10-17,2023-04-15,0.99,33324,Evan,Seasonal demand uplift
DAI-034,Niche Snacks,2023-04-15,2024-04-09,1.14,56815,Priya,Added PCR packaging
DAI-034,Regional Dairy,2024-04-09,2024-10-06,1.54,55539,Evan,Added PCR packaging
DAI-034,P&G,2024-10-06,2025-10-01,1.1,40692,Marta,Switched fragrance
DAI-035,P&G,2021-10-22,2022-10-17,0.9,42398,Marta,Negotiated rebate
DAI-035,P&G,2022-10-17,2023-10-12,1.09,22044,Liam,Logistics surcharge temporary
DAI-035,Niche Snacks,2023-10-12,2025-04-04,1.26,56277,Marta,Seasonal demand uplift
DAI-035,Regional Dairy,2025-04-04,2025-10-01,1.33,34438,Marta,Switched fragrance
DAI-036,Own Label Co.,2022-04-20,2023-04-15,0.92,30887,Liam,Switched fragrance
DAI-036,P&G,2023-04-15,2023-10-12,0.97,39692,Alex,Switched fragrance
DAI-036,OptiCare,2023-10-12,2024-10-06,1.08,41232,Alex,Logistics surcharge temporary
DAI-036,P&G,2024-10-06,2025-10-01,1.21,5000,Liam,Seasonal demand uplift
DAI-037,EuroChem,2022-10-17,2023-10-12,1.12,50236,Marta,Switched fragrance
DAI-037,Unilever,2023-10-12,2024-10-06,1.04,40404,Alex,Negotiated rebate
DAI-037,Regional Dairy,2024-10-06,2025-10-01,1.2,58683,Marta,Seasonal demand uplift
DAI-038,P&G,2021-04-25,2022-04-20,1.33,31298,Marta,Stable OTIF
DAI-038,Unilever,2022-04-20,2023-01-15,1.17,5000,Priya,Switched fragrance
DAI-038,Acme Beauty,2023-01-15,2024-01-10,1.27,55932,Marta,Locked resin index
DAI-038,P&G,2024-01-10,2025-01-04,1.4,32548,Priya,Negotiated rebate
DAI-038,OptiCare,2025-01-04,2025-10-01,1.21,50290,Priya,Stable OTIF
DAI-039,OptiCare,2021-10-22,2022-10-17,1.06,61136,Evan,Stable OTIF
DAI-039,GreenFoods,2022-10-17,2023-10-12,0.74,46533,Priya,Logistics surcharge temporary
DAI-039,Own Label Co.,2023-10-12,2024-10-06,0.98,49680,Alex,Switched fragrance
DAI-039,Niche Snacks,2024-10-06,2025-04-04,1.15,21959,Evan,Negotiated rebate
DAI-039,Acme Beauty,2025-04-04,2025-10-01,1.25,34142,Marta,Switched fragrance
DAI-040,Niche Snacks,2020-07-29,2021-07-24,0.95,51926,Priya,Switched fragrance
DAI-040,EuroChem,2021-07-24,2022-04-20,0.98,57300,Marta,Bundle with conditioner
DAI-040,EuroChem,2022-04-20,2023-04-15,1.05,52056,Evan,Added PCR packaging
DAI-040,EuroChem,2023-04-15,2024-04-09,1.2,41399,Liam,Added PCR packaging
DAI-040,Regional Dairy,2024-04-09,2025-10-01,1.52,48399,Evan,Negotiated rebate
DAI-041,Acme Beauty,2022-10-17,2023-10-12,1.04,26537,Marta,Stable OTIF
DAI-041,GreenFoods,2023-10-12,2024-07-08,1.09,42887,Marta,Logistics surcharge temporary
DAI-041,Own Label Co.,2024-07-08,2025-01-04,0.96,41078,Alex,Locked resin index
DAI-041,Niche Snacks,2025-01-04,2025-10-01,1.46,58561,Marta,Stable OTIF
DAI-042,Regional Dairy,2022-07-19,2023-07-14,1.28,16855,Priya,Switched fragrance
DAI-042,Acme Beauty,2023-07-14,2024-04-09,1.09,47386,Liam,Locked resin index
DAI-042,Regional Dairy,2024-04-09,2025-10-01,0.98,55858,Alex,Locked resin index
HAI-001,OptiCare,2021-01-25,2022-01-20,2.02,63250,Evan,Logistics surcharge temporary
HAI-001,Regional Dairy,2022-01-20,2023-07-14,2.53,18679,Evan,Locked resin index
HAI-001,P&G,2023-07-14,2025-01-04,2.33,93013,Priya,Negotiated rebate
HAI-001,OptiCare,2025-01-04,2025-10-01,3.43,38010,Evan,Locked resin index
HAI-002,Regional Dairy,2023-01-15,2023-07-14,2.48,46858,Evan,Added PCR packaging
HAI-002,Unilever,2023-07-14,2024-04-09,2.49,43752,Liam,Stable OTIF
HAI-002,OptiCare,2024-04-09,2025-10-01,2.6,41079,Evan,Locked resin index
HAI-003,P&G,2021-04-25,2022-10-17,2.18,10675,Liam,Negotiated rebate
HAI-003,Regional Dairy,2022-10-17,2023-04-15,1.99,42647,Priya,Locked resin index
HAI-003,Niche Snacks,2023-04-15,2024-10-06,3.14,47315,Liam,Added PCR packaging
HAI-003,Own Label Co.,2024-10-06,2025-10-01,2.66,46553,Liam,Locked resin index
HAI-004,EuroChem,2020-10-27,2022-04-20,2.1,68548,Priya,Seasonal demand uplift
HAI-004,P&G,2022-04-20,2023-01-15,2.87,40058,Liam,Switched fragrance
HAI-004,Niche Snacks,2023-01-15,2024-01-10,2.79,26207,Alex,Added PCR packaging
HAI-004,EuroChem,2024-01-10,2025-01-04,1.99,53031,Liam,Seasonal demand uplift
HAI-004,EuroChem,2025-01-04,2025-10-01,2.65,54000,Liam,Stable OTIF
HAI-005,Acme Beauty,2021-07-24,2022-07-19,2.48,20018,Liam,Seasonal demand uplift
HAI-005,Unilever,2022-07-19,2023-07-14,2.25,48788,Evan,Bundle with conditioner
HAI-005,Acme Beauty,2023-07-14,2024-04-09,2.69,72693,Alex,Seasonal demand uplift
HAI-005,P&G,2024-04-09,2025-10-01,2.67,78713,Evan,Stable OTIF
HAI-006,P&G,2020-07-29,2021-04-25,2.17,27300,Marta,Negotiated rebate
HAI-006,Unilever,2021-04-25,2022-04-20,1.88,27665,Marta,Bundle with conditioner
HAI-006,EuroChem,2022-04-20,2023-10-12,2.24,70493,Priya,Stable OTIF
HAI-006,P&G,2023-10-12,2024-10-06,2.38,33542,Evan,Switched fragrance
HAI-006,P&G,2024-10-06,2025-10-01,2.75,62896,Evan,Switched fragrance
HAI-007,OptiCare,2022-10-17,2023-10-12,3.01,54097,Liam,Switched fragrance
HAI-007,EuroChem,2023-10-12,2024-10-06,3.22,41809,Evan,Added PCR packaging
HAI-007,Own Label Co.,2024-10-06,2025-10-01,2.82,54405,Alex,Stable OTIF
HAI-008,Own Label Co.,2023-04-15,2023-10-12,2.53,36138,Alex,Logistics surcharge temporary
HAI-008,OptiCare,2023-10-12,2024-10-06,2.36,51817,Alex,Added PCR packaging
